frameId,isRecorded,isDropped,frameStatus,frameIndex,frameIdDiff,recordedState01
1644588256,0,1,dropped,292,2880.0,0
1644591136,1,0,recorded,293,2880.0,1
1644594016,1,0,recorded,294,2880.0,1
1644596896,0,1,dropped,295,2880.0,0
1644601216,1,0,recorded,296,4320.0,1
1644604096,1,0,recorded,297,2880.0,1
1644606976,0,1,dropped,298,2880.0,0
1644609856,0,1,dropped,299,2880.0,0
1644612736,1,0,recorded,300,2880.0,1
1644615616,1,0,recorded,301,2880.0,1
1644618496,0,1,dropped,302,2880.0,0
1644621376,1,0,recorded,303,2880.0,1
1644624256,1,0,recorded,304,2880.0,1
1644627136,0,1,dropped,305,2880.0,0
1644630016,0,1,dropped,306,2880.0,0
1644632896,1,0,recorded,307,2880.0,1
1644637216,1,0,recorded,308,4320.0,1
1644640096,0,1,dropped,309,2880.0,0
1644642976,1,0,recorded,310,2880.0,1
1644645856,1,0,recorded,311,2880.0,1
1644648736,0,1,dropped,312,2880.0,0
1644651616,0,1,dropped,313,2880.0,0
1644654496,1,0,recorded,314,2880.0,1
1644657376,1,0,recorded,315,2880.0,1
1644660256,0,1,dropped,316,2880.0,0
1644663136,0,1,dropped,317,2880.0,0
1644666016,1,0,recorded,318,2880.0,1
1644668896,1,0,recorded,319,2880.0,1
1644673216,0,1,dropped,320,4320.0,0
1644676096,1,0,recorded,321,2880.0,1
1644678976,1,0,recorded,322,2880.0,1
1644681856,0,1,dropped,323,2880.0,0
1644684736,1,0,recorded,324,2880.0,1
1644687616,1,0,recorded,325,2880.0,1
1644690496,0,1,dropped,326,2880.0,0
1644693376,0,1,dropped,327,2880.0,0
1644696256,1,0,recorded,328,2880.0,1
1644699136,1,0,recorded,329,2880.0,1
1644702016,0,1,dropped,330,2880.0,0
1644704896,1,0,recorded,331,2880.0,1
1644709216,1,0,recorded,332,4320.0,1
1644712096,0,1,dropped,333,2880.0,0
1644714976,0,1,dropped,334,2880.0,0
1644717856,1,0,recorded,335,2880.0,1
1644720736,1,0,recorded,336,2880.0,1
1644723616,0,1,dropped,337,2880.0,0
1644726496,0,1,dropped,338,2880.0,0
1644729376,1,0,recorded,339,2880.0,1
1644732256,1,0,recorded,340,2880.0,1
1644735136,0,1,dropped,341,2880.0,0
1644738016,0,1,dropped,342,2880.0,0
1644740896,1,0,recorded,343,2880.0,1
1644745216,1,0,recorded,344,4320.0,1
1644748096,0,1,dropped,345,2880.0,0
1644750976,1,0,recorded,346,2880.0,1
1644753856,1,0,recorded,347,2880.0,1
1644756736,0,1,dropped,348,2880.0,0
1644759616,0,1,dropped,349,2880.0,0
1644762496,1,0,recorded,350,2880.0,1
1644765376,1,0,recorded,351,2880.0,1
1644768256,0,1,dropped,352,2880.0,0
1644771136,1,0,recorded,353,2880.0,1
1644774016,1,0,recorded,354,2880.0,1
1644776896,0,1,dropped,355,2880.0,0
1644779776,0,1,dropped,356,2880.0,0
1644784096,1,0,recorded,357,4320.0,1
1644786976,1,0,recorded,358,2880.0,1
1644789856,0,1,dropped,359,2880.0,0
1644792736,1,0,recorded,360,2880.0,1
1644795616,1,0,recorded,361,2880.0,1
1644798496,0,1,dropped,362,2880.0,0
1644801376,0,1,dropped,363,2880.0,0
1644804256,1,0,recorded,364,2880.0,1
1644807136,1,0,recorded,365,2880.0,1
1644810016,0,1,dropped,366,2880.0,0
1644812896,1,0,recorded,367,2880.0,1
1644817216,1,0,recorded,368,4320.0,1
1644820096,0,1,dropped,369,2880.0,0
1644822976,0,1,dropped,370,2880.0,0
1644825856,1,0,recorded,371,2880.0,1
1644828736,1,0,recorded,372,2880.0,1
1644831616,0,1,dropped,373,2880.0,0
1644834496,0,1,dropped,374,2880.0,0
1644837376,1,0,recorded,375,2880.0,1
1644840256,1,0,recorded,376,2880.0,1
1644843136,0,1,dropped,377,2880.0,0
1644846016,0,1,dropped,378,2880.0,0
1644848896,1,0,recorded,379,2880.0,1
1644853216,1,0,recorded,380,4320.0,1
1644856096,0,1,dropped,381,2880.0,0
1644858976,1,0,recorded,382,2880.0,1
1644861856,1,0,recorded,383,2880.0,1
1644864736,0,1,dropped,384,2880.0,0
1644867616,0,1,dropped,385,2880.0,0
1644870496,1,0,recorded,386,2880.0,1
1644873376,1,0,recorded,387,2880.0,1
1644876256,0,1,dropped,388,2880.0,0
1644879136,1,0,recorded,389,2880.0,1
1644882016,1,0,recorded,390,2880.0,1
1644884896,0,1,dropped,391,2880.0,0
1644889216,0,1,dropped,392,4320.0,0
1644892186,1,0,recorded,393,2970.0,1
1644894976,1,0,recorded,394,2790.0,1
1644897856,0,1,dropped,395,2880.0,0
1644900736,1,0,recorded,396,2880.0,1
1644903616,1,0,recorded,397,2880.0,1
1644906496,0,1,dropped,398,2880.0,0
1644909376,0,1,dropped,399,2880.0,0
1644912256,1,0,recorded,400,2880.0,1
1644915136,1,0,recorded,401,2880.0,1
1644918016,0,1,dropped,402,2880.0,0
1644920986,0,1,dropped,403,2970.0,0
1644923776,1,0,recorded,404,2790.0,1
1644928096,1,0,recorded,405,4320.0,1
1644930976,0,1,dropped,406,2880.0,0
1644933856,1,0,recorded,407,2880.0,1
1644936736,1,0,recorded,408,2880.0,1
1644939616,0,1,dropped,409,2880.0,0
1644942496,0,1,dropped,410,2880.0,0
1644945376,1,0,recorded,411,2880.0,1
1644948256,1,0,recorded,412,2880.0,1
1644951136,0,1,dropped,413,2880.0,0
1644954016,1,0,recorded,414,2880.0,1
1644956896,1,0,recorded,415,2880.0,1
1644959776,0,1,dropped,416,2880.0,0
1644964096,1,0,recorded,417,4320.0,1
1644966976,1,0,recorded,418,2880.0,1
1644969856,0,1,dropped,419,2880.0,0
1644972736,0,1,dropped,420,2880.0,0
1644975616,1,0,recorded,421,2880.0,1
1644978496,1,0,recorded,422,2880.0,1
1644981376,0,1,dropped,423,2880.0,0
1644984256,0,1,dropped,424,2880.0,0
1644987136,1,0,recorded,425,2880.0,1
1644990106,1,0,recorded,426,2970.0,1
1644992896,0,1,dropped,427,2790.0,0
1644997216,1,0,recorded,428,4320.0,1
1645000096,1,0,recorded,429,2880.0,1
1645002976,0,1,dropped,430,2880.0,0
1645005856,0,1,dropped,431,2880.0,0
1645008736,1,0,recorded,432,2880.0,1
1645011706,1,0,recorded,433,2970.0,1
1645014586,0,1,dropped,434,2880.0,0
1645017466,0,1,dropped,435,2880.0,0
1645020256,1,0,recorded,436,2790.0,1
1645023136,1,0,recorded,437,2880.0,1
1645026106,0,1,dropped,438,2970.0,0
1645028896,1,0,recorded,439,2790.0,1
1645033216,1,0,recorded,440,4320.0,1
1645036096,0,1,dropped,441,2880.0,0
1645038976,0,1,dropped,442,2880.0,0
1645041856,1,0,recorded,443,2880.0,1
1645044736,1,0,recorded,444,2880.0,1
1645047616,0,1,dropped,445,2880.0,0
1645050496,1,0,recorded,446,2880.0,1
1645053376,1,0,recorded,447,2880.0,1
1645056256,0,1,dropped,448,2880.0,0
1645059136,0,1,dropped,449,2880.0,0
1645062016,1,0,recorded,450,2880.0,1
1645064896,1,0,recorded,451,2880.0,1
1645067776,0,1,dropped,452,2880.0,0
1645072096,1,0,recorded,453,4320.0,1
1645074976,1,0,recorded,454,2880.0,1
1645077856,0,1,dropped,455,2880.0,0
1645080826,0,1,dropped,456,2970.0,0
1645083616,1,0,recorded,457,2790.0,1
1645086496,1,0,recorded,458,2880.0,1
1645089376,0,1,dropped,459,2880.0,0
1645092256,1,0,recorded,460,2880.0,1
1645095136,1,0,recorded,461,2880.0,1
1645098016,0,1,dropped,462,2880.0,0
1645100896,0,1,dropped,463,2880.0,0
1645105216,1,0,recorded,464,4320.0,1
1645108096,1,0,recorded,465,2880.0,1
1645110976,0,1,dropped,466,2880.0,0
1645113856,1,0,recorded,467,2880.0,1
1645116826,1,0,recorded,468,2970.0,1
1645119616,0,1,dropped,469,2790.0,0
1645122496,0,1,dropped,470,2880.0,0
1645125376,1,0,recorded,471,2880.0,1
1645128256,1,0,recorded,472,2880.0,1
1645131226,0,1,dropped,473,2970.0,0
1645134016,0,1,dropped,474,2790.0,0
1645136896,1,0,recorded,475,2880.0,1
1645141216,1,0,recorded,476,4320.0,1
1645144096,0,1,dropped,477,2880.0,0
1645146976,0,1,dropped,478,2880.0,0
1645149856,1,0,recorded,479,2880.0,1
1645152826,1,0,recorded,480,2970.0,1
1645155616,0,1,dropped,481,2790.0,0
1645158586,0,1,dropped,482,2970.0,0
1645161376,1,0,recorded,483,2790.0,1
1645164256,1,0,recorded,484,2880.0,1
1645167136,0,1,dropped,485,2880.0,0
1645170106,1,0,recorded,486,2970.0,1
1645172896,1,0,recorded,487,2790.0,1
1645177216,0,1,dropped,488,4320.0,0
1645180186,0,1,dropped,489,2970.0,0
1645182976,1,0,recorded,490,2790.0,1
1645185856,1,0,recorded,491,2880.0,1
1645188736,0,1,dropped,492,2880.0,0
1645191706,1,0,recorded,493,2970.0,1
1645194496,1,0,recorded,494,2790.0,1
1645197376,0,1,dropped,495,2880.0,0
1645200256,0,1,dropped,496,2880.0,0
1645203226,1,0,recorded,497,2970.0,1
1645206016,1,0,recorded,498,2790.0,1
1645208896,0,1,dropped,499,2880.0,0
1645211776,1,0,recorded,500,2880.0,1
1645216096,1,0,recorded,501,4320.0,1
1645218976,0,1,dropped,502,2880.0,0
1645221856,0,1,dropped,503,2880.0,0
1645224736,1,0,recorded,504,2880.0,1
1645227616,1,0,recorded,505,2880.0,1
1645230496,0,1,dropped,506,2880.0,0
1645233466,0,1,dropped,507,2970.0,0
1645236256,1,0,recorded,508,2790.0,1
1645239226,1,0,recorded,509,2970.0,1
1645242106,0,1,dropped,510,2880.0,0
1645244986,1,0,recorded,511,2880.0,1
1645247776,1,0,recorded,512,2790.0,1
1645252096,0,1,dropped,513,4320.0,0
1645254976,1,0,recorded,514,2880.0,1
1645257856,1,0,recorded,515,2880.0,1
1645260736,0,1,dropped,516,2880.0,0
1645263616,0,1,dropped,517,2880.0,0
1645266496,1,0,recorded,518,2880.0,1
1645269376,1,0,recorded,519,2880.0,1
1645272256,0,1,dropped,520,2880.0,0
1645275136,1,0,recorded,521,2880.0,1
1645278016,1,0,recorded,522,2880.0,1
1645280896,0,1,dropped,523,2880.0,0
1645283776,1,0,recorded,524,2880.0,1
1645288186,1,0,recorded,525,4410.0,1
1645291066,0,1,dropped,526,2880.0,0
1645293946,0,1,dropped,527,2880.0,0
1645296736,1,0,recorded,528,2790.0,1
1645299616,1,0,recorded,529,2880.0,1
1645302496,0,1,dropped,530,2880.0,0
1645305466,0,1,dropped,531,2970.0,0
1645308436,1,0,recorded,532,2970.0,1
1645311226,1,0,recorded,533,2790.0,1
1645314106,0,1,dropped,534,2880.0,0
1645316986,1,0,recorded,535,2880.0,1
1645319776,1,0,recorded,536,2790.0,1
1645324096,0,1,dropped,537,4320.0,0
1645326976,0,1,dropped,538,2880.0,0
1645329856,1,0,recorded,539,2880.0,1
1645332736,1,0,recorded,540,2880.0,1
1645335706,0,1,dropped,541,2970.0,0
1645338496,1,0,recorded,542,2790.0,1
1645341376,1,0,recorded,543,2880.0,1
1645344346,0,1,dropped,544,2970.0,0
1645347136,0,1,dropped,545,2790.0,0
1645350106,1,0,recorded,546,2970.0,1
1645352896,1,0,recorded,547,2790.0,1
1645355776,0,1,dropped,548,2880.0,0
1645360096,1,0,recorded,549,4320.0,1
1645362976,1,0,recorded,550,2880.0,1
1645365856,0,1,dropped,551,2880.0,0
1645368736,0,1,dropped,552,2880.0,0
1645371616,1,0,recorded,553,2880.0,1
1645374496,1,0,recorded,554,2880.0,1
1645377466,0,1,dropped,555,2970.0,0
1645380346,1,0,recorded,556,2880.0,1
1645383226,1,0,recorded,557,2880.0,1
1645386106,0,1,dropped,558,2880.0,0
1645388896,1,0,recorded,559,2790.0,1
1645393216,1,0,recorded,560,4320.0,1
1645396186,0,1,dropped,561,2970.0,0
1645398976,0,1,dropped,562,2790.0,0
1645401856,1,0,recorded,563,2880.0,1
1645404826,1,0,recorded,564,2970.0,1
1645407706,0,1,dropped,565,2880.0,0
1645410496,0,1,dropped,566,2790.0,0
1645413376,1,0,recorded,567,2880.0,1
1645416256,1,0,recorded,568,2880.0,1
1645419136,0,1,dropped,569,2880.0,0
1645422106,1,0,recorded,570,2970.0,1
1645424896,1,0,recorded,571,2790.0,1
1645427776,0,1,dropped,572,2880.0,0
1645432096,1,0,recorded,573,4320.0,1
1645434976,1,0,recorded,574,2880.0,1
1645437856,0,1,dropped,575,2880.0,0
1645440736,0,1,dropped,576,2880.0,0
1645443616,1,0,recorded,577,2880.0,1
1645446496,1,0,recorded,578,2880.0,1
1645449466,0,1,dropped,579,2970.0,0
1645452346,1,0,recorded,580,2880.0,1
1645455226,1,0,recorded,581,2880.0,1
1645458106,0,1,dropped,582,2880.0,0
1645460986,0,1,dropped,583,2880.0,0
1645463776,1,0,recorded,584,2790.0,1
1645468096,1,0,recorded,585,4320.0,1
1645470976,0,1,dropped,586,2880.0,0
1645473856,1,0,recorded,587,2880.0,1
1645476826,1,0,recorded,588,2970.0,1
1645479706,0,1,dropped,589,2880.0,0
1645482496,0,1,dropped,590,2790.0,0
1645485376,1,0,recorded,591,2880.0,1
1645488256,1,0,recorded,592,2880.0,1
1645491226,0,1,dropped,593,2970.0,0
1645494106,1,0,recorded,594,2880.0,1
1645496986,1,0,recorded,595,2880.0,1
1645499866,0,1,dropped,596,2880.0,0
1645504186,1,0,recorded,597,4320.0,1
1645506976,1,0,recorded,598,2790.0,1
1645509856,0,1,dropped,599,2880.0,0
1645512736,0,1,dropped,600,2880.0,0
1645515616,1,0,recorded,601,2880.0,1
1645518586,1,0,recorded,602,2970.0,1
1645521466,0,1,dropped,603,2880.0,0
1645524346,1,0,recorded,604,2880.0,1
1645527226,1,0,recorded,605,2880.0,1
1645530016,0,1,dropped,606,2790.0,0
1645532896,0,1,dropped,607,2880.0,0
1645535776,1,0,recorded,608,2880.0,1
1645540096,1,0,recorded,609,4320.0,1
1645542976,0,1,dropped,610,2880.0,0
1645545856,1,0,recorded,611,2880.0,1
1645548736,1,0,recorded,612,2880.0,1
1645551616,0,1,dropped,613,2880.0,0
1645554496,1,0,recorded,614,2880.0,1
1645557466,1,0,recorded,615,2970.0,1
1645560256,0,1,dropped,616,2790.0,0
1645563226,0,1,dropped,617,2970.0,0
1645566106,1,0,recorded,618,2880.0,1
1645568986,1,0,recorded,619,2880.0,1
1645571776,0,1,dropped,620,2790.0,0
1645576096,1,0,recorded,621,4320.0,1
1645578976,1,0,recorded,622,2880.0,1
1645581856,0,1,dropped,623,2880.0,0
1645584826,0,1,dropped,624,2970.0,0
1645587706,1,0,recorded,625,2880.0,1
1645590586,1,0,recorded,626,2880.0,1
1645593466,0,1,dropped,627,2880.0,0
