actualSlackMs, receiveSlackMs, decodeSlackMs, receiveTimeMs, decodeStartMs, decodeFinishMs, desiredReceiveTimeMs, desiredDecodeStartMs
191.0, 142.0, 165.0, 269995198.0, 269995389.0, 269995399.0, 269995340.0, 269995363.0
43.0, 142.0, 165.0, 269995358.0, 269995401.0, 269995405.0, 269995500.0, 269995523.0
168.0, 144.0, 167.0, 269995389.0, 269995557.0, 269995566.0, 269995533.0, 269995556.0
192.0, 144.0, 167.0, 269995533.0, 269995725.0, 269995734.0, 269995677.0, 269995700.0
40.0, 143.0, 166.0, 269995695.0, 269995735.0, 269995740.0, 269995838.0, 269995861.0
171.0, 142.0, 165.0, 269995727.0, 269995898.0, 269995908.0, 269995869.0, 269995892.0
58.0, 144.0, 167.0, 269995852.0, 269995910.0, 269995914.0, 269995996.0, 269996019.0
168.0, 144.0, 167.0, 269995900.0, 269996068.0, 269996079.0, 269996044.0, 269996067.0
52.0, 144.0, 167.0, 269996028.0, 269996080.0, 269996085.0, 269996172.0, 269996195.0
172.0, 139.0, 162.0, 269996065.0, 269996237.0, 269996246.0, 269996204.0, 269996227.0
181.0, 140.0, 163.0, 269996225.0, 269996406.0, 269996415.0, 269996365.0, 269996388.0
53.0, 144.0, 167.0, 269996364.0, 269996417.0, 269996422.0, 269996508.0, 269996531.0
180.0, 144.0, 167.0, 269996396.0, 269996576.0, 269996586.0, 269996540.0, 269996563.0
186.0, 139.0, 162.0, 269996561.0, 269996747.0, 269996755.0, 269996700.0, 269996723.0
54.0, 142.0, 165.0, 269996702.0, 269996756.0, 269996762.0, 269996844.0, 269996867.0
184.0, 144.0, 167.0, 269996732.0, 269996916.0, 269996928.0, 269996876.0, 269996899.0
193.0, 144.0, 167.0, 269996892.0, 269997085.0, 269997096.0, 269997036.0, 269997059.0
44.0, 144.0, 167.0, 269997053.0, 269997097.0, 269997102.0, 269997197.0, 269997220.0
158.0, 142.0, 165.0, 269997102.0, 269997260.0, 269997269.0, 269997244.0, 269997267.0
41.0, 142.0, 165.0, 269997230.0, 269997271.0, 269997276.0, 269997372.0, 269997395.0
159.0, 141.0, 164.0, 269997263.0, 269997422.0, 269997433.0, 269997404.0, 269997427.0
44.0, 143.0, 166.0, 269997390.0, 269997434.0, 269997439.0, 269997533.0, 269997556.0
161.0, 141.0, 164.0, 269997423.0, 269997584.0, 269997593.0, 269997564.0, 269997587.0
181.0, 147.0, 170.0, 269997561.0, 269997742.0, 269997751.0, 269997708.0, 269997731.0
182.0, 143.0, 166.0, 269997725.0, 269997907.0, 269997918.0, 269997868.0, 269997891.0
169.0, 143.0, 166.0, 269997901.0, 269998070.0, 269998080.0, 269998044.0, 269998067.0
168.0, 140.0, 163.0, 269998064.0, 269998232.0, 269998243.0, 269998204.0, 269998227.0
173.0, 143.0, 166.0, 269998222.0, 269998395.0, 269998407.0, 269998365.0, 269998388.0
47.0, 146.0, 169.0, 269998362.0, 269998409.0, 269998414.0, 269998508.0, 269998531.0
162.0, 145.0, 168.0, 269998395.0, 269998557.0, 269998568.0, 269998540.0, 269998563.0
40.0, 140.0, 163.0, 269998529.0, 269998569.0, 269998574.0, 269998669.0, 269998692.0
167.0, 142.0, 165.0, 269998558.0, 269998725.0, 269998736.0, 269998700.0, 269998723.0
36.0, 143.0, 166.0, 269998701.0, 269998737.0, 269998742.0, 269998844.0, 269998867.0
154.0, 144.0, 167.0, 269998733.0, 269998887.0, 269998898.0, 269998877.0, 269998900.0
39.0, 143.0, 166.0, 269998861.0, 269998900.0, 269998905.0, 269999004.0, 269999027.0
158.0, 143.0, 166.0, 269998893.0, 269999051.0, 269999061.0, 269999036.0, 269999059.0
42.0, 144.0, 167.0, 269999020.0, 269999062.0, 269999067.0, 269999164.0, 269999187.0
159.0, 143.0, 166.0, 269999053.0, 269999212.0, 269999223.0, 269999196.0, 269999219.0
174.0, 142.0, 165.0, 269999199.0, 269999373.0, 269999383.0, 269999341.0, 269999364.0
24.0, 139.0, 162.0, 269999361.0, 269999385.0, 269999389.0, 269999500.0, 269999523.0
149.0, 145.0, 168.0, 269999387.0, 269999536.0, 269999546.0, 269999532.0, 269999555.0
61.0, 143.0, 166.0, 269999487.0, 269999548.0, 269999553.0, 269999630.0, 269999653.0
161.0, 142.0, 165.0, 269999536.0, 269999697.0, 269999707.0, 269999678.0, 269999701.0
48.0, 143.0, 166.0, 269999661.0, 269999709.0, 269999713.0, 269999804.0, 269999827.0
163.0, 144.0, 167.0, 269999693.0, 269999856.0, 269999867.0, 269999837.0, 269999860.0
49.0, 144.0, 167.0, 269999820.0, 269999869.0, 269999873.0, 269999964.0, 269999987.0
166.0, 144.0, 167.0, 269999852.0, 270000018.0, 270000030.0, 269999996.0, 270000019.0
184.0, 145.0, 168.0, 269999995.0, 270000179.0, 270000189.0, 270000140.0, 270000163.0
177.0, 137.0, 160.0, 270000164.0, 270000341.0, 270000351.0, 270000301.0, 270000324.0
169.0, 142.0, 165.0, 270000334.0, 270000503.0, 270000513.0, 270000476.0, 270000499.0
171.0, 144.0, 167.0, 270000493.0, 270000664.0, 270000674.0, 270000637.0, 270000660.0
170.0, 142.0, 165.0, 270000655.0, 270000825.0, 270000835.0, 270000797.0, 270000820.0
40.0, 143.0, 166.0, 270000797.0, 270000837.0, 270000842.0, 270000940.0, 270000963.0
159.0, 144.0, 167.0, 270000829.0, 270000988.0, 270000999.0, 270000973.0, 270000996.0
40.0, 139.0, 162.0, 270000961.0, 270001001.0, 270001006.0, 270001100.0, 270001123.0
164.0, 144.0, 167.0, 270000988.0, 270001152.0, 270001163.0, 270001132.0, 270001155.0
181.0, 146.0, 169.0, 270001130.0, 270001311.0, 270001321.0, 270001276.0, 270001299.0
176.0, 141.0, 164.0, 270001296.0, 270001472.0, 270001483.0, 270001437.0, 270001460.0
181.0, 143.0, 166.0, 270001453.0, 270001634.0, 270001643.0, 270001596.0, 270001619.0
48.0, 144.0, 167.0, 270001596.0, 270001644.0, 270001649.0, 270001740.0, 270001763.0
167.0, 145.0, 168.0, 270001628.0, 270001795.0, 270001807.0, 270001773.0, 270001796.0
49.0, 142.0, 165.0, 270001759.0, 270001808.0, 270001813.0, 270001901.0, 270001924.0
167.0, 144.0, 167.0, 270001789.0, 270001956.0, 270001967.0, 270001933.0, 270001956.0
35.0, 143.0, 166.0, 270001933.0, 270001968.0, 270001973.0, 270002076.0, 270002099.0
155.0, 143.0, 166.0, 270001965.0, 270002120.0, 270002131.0, 270002108.0, 270002131.0
