time_ms,rtt_ms,min_rtt_ms,predicted_queue_bytes,bucket_size_bytes
10852851036,1.83105,0.228882,1350.63,18000
10852851504,1.83105,0.228882,1350.63,18000
10852851911,1.41907,0.228882,1003.33,18000
10852852410,1.41907,0.244141,990.463,18000
10852853223,0.289917,0.289917,0,18000
10852853441,0.289917,0.289917,0,18000
10852853786,0.640869,0.289917,282.867,18000
10852854379,0.411987,0.289917,98.6328,18000
10863825469,0.747681,0.747681,0,12000
10863826063,0.900269,0.747681,13.1226,12000
10863827250,0.366211,0.366211,0,12000
10863828735,1.35803,0.366211,85.2966,12000
10863829516,0.717163,0.366211,30.1819,12000
10863830408,0.717163,0.366211,242.859,12000
10863830626,0.595093,0.366211,158.386,12000
10863830985,0.595093,0.366211,192.947,12000
10863831763,28.8544,0.366211,24015.5,1200
10863832235,28.8544,0.366211,24015.5,1200
10863832610,1.31226,0.366211,797.516,2400
10863833032,1.31226,0.366211,797.516,2400
10863833782,1.31226,0.366211,797.516,2400
10863834063,0.396729,0.366211,25.7263,2400
10863834595,0.50354,0.366211,115.768,2400
10863834672,0.50354,0.366211,115.768,2400
10863835157,0.50354,0.366211,115.768,2400
10863835282,0.50354,0.366211,115.768,2400
10863836099,0.50354,0.366211,110.687,2400
10863836594,0.50354,0.366211,110.687,2400
10863837111,0.50354,0.366211,110.687,2400
10863837876,0.747681,0.396729,282.867,2400
10863838548,0.747681,0.396729,282.867,2400
10863838798,1.09863,0.396729,565.735,2400
10863839610,1.09863,0.396729,565.735,2400
10863839954,1.28174,0.396729,713.318,2400
10863840704,1.28174,0.396729,713.318,2400
10863841424,1.77002,0.396729,1106.87,2400
10863841673,1.77002,0.396729,1106.87,2400
10863842799,1.77002,0.396729,1106.87,2400
10863842826,123.459,0.396729,99188.1,1200
10863843266,123.459,0.396729,99188.1,1200
10863843672,0.62561,0.396729,184.479,1200
10863844157,0.62561,0.50354,98.3887,1200
10863844923,0.793457,0.50354,233.673,1200
10863845595,0.793457,0.50354,233.673,1200
10863846236,0.518799,0.50354,12.2986,1200
10863846455,0.518799,0.50354,12.2986,1200
10863848330,1.05286,0.518799,430.45,1200
10863849361,1.54114,0.518799,824.005,1200
10863850829,1.5564,0.518799,836.304,1200
10863851502,1.98364,0.518799,1180.66,1200
10863852642,1.00708,0.518799,393.555,1200
10863853392,0.747681,0.518799,184.479,1200
10863853970,0.488281,0.488281,0,1200
10863854549,0.335693,0.335693,0,1200
10863855079,0.473022,0.335693,110.687,1200
10863855890,30.1514,0.335693,24031.4,1200
10863857345,1.31226,0.335693,787.109,1200
10863858280,123.291,0.335693,99102,1200
10863859579,1.46484,0.335693,910.095,1200
10863860329,1.06812,0.335693,590.332,1200
10863861829,4.45557,0.335693,3320.62,1200
10863862455,4.19617,0.335693,3111.54,1200
10863863126,3.46375,0.335693,2521.21,1200
10863864001,1.08337,0.335693,602.631,1200
10863865033,1.54114,0.473022,860.901,1200
10863865892,1.02234,1.02234,0,314.844
10863867377,1.69373,1.02234,565.979,1514.84
10863868284,1.5564,1.02234,450.211,1514.84
10863869454,0.991821,0.991821,0,1514.84
10863870424,0.991821,0.991821,0,314.844
10863870954,0.762939,0.762939,0,314.844
10863871861,64.0106,0.762939,42502.4,1200
10863871884,64.0106,0.762939,42502.4,1200
10863872642,1.15967,0.762939,266.602,2400
10863873329,1.15967,0.762939,266.602,2400
10863873971,0.88501,0.762939,82.0312,2400
10863874032,0.88501,0.762939,82.0312,2400
10863874657,0.88501,0.762939,82.0312,2400
10863874830,0.137329,0.137329,0,2400
10863875360,0.946045,0.137329,549.118,2400
10863875971,1.75476,0.137329,1098.24,2400
10863876111,1.75476,0.137329,1098.24,2400
10863876799,1.75476,0.137329,1098.24,2400
10863876987,1.67847,0.137329,1046.43,2400
10863877487,1.67847,0.137329,1046.43,2400
10863878404,1.67847,0.137329,1046.43,2400
10863878449,73.5931,0.137329,49876.5,1200
10863879002,73.5931,0.137329,49876.5,1200
10863879861,0.518799,0.137329,259.018,1200
10863880446,0.518799,0.137329,259.018,1200
10863880602,117.447,0.137329,79653.2,1200
10863881001,117.447,0.137329,79653.2,1200
10863881503,1.09863,0.137329,652.725,2400
10863882204,1.09863,0.137329,705.597,3600
10863882752,0.915527,0.137329,571.198,3600
10863882955,0.915527,0.137329,571.198,3600
10863883720,0.12207,0.12207,0,3600
10863884533,0.930786,0.12207,641.312,3600
10863885581,1.34277,0.12207,1029.05,3600
10863886081,1.34277,0.12207,1029.05,3600
10863886908,1.34277,0.12207,1029.05,3600
10863886971,1.08337,0.12207,810.379,3600
10863887940,0.946045,0.12207,694.611,3600
10863888079,0.946045,0.12207,694.611,3600
10863888611,0.946045,0.12207,694.611,3600
10863888736,0.62561,0.12207,424.484,3600
10863889205,0.62561,0.12207,424.484,3600
10863890050,0.534058,0.12207,347.305,3600
10863890580,0.534058,0.12207,332.062,3600
10863890736,0.823975,0.12207,565.735,3600
10863891736,0.518799,0.12207,319.763,3600
10863891892,0.518799,0.12207,319.763,3600
10863892861,0.839233,0.12207,578.033,3600
10863892923,0.839233,0.12207,578.033,3600
10863893783,0.839233,0.518799,258.27,3600
10863894049,0.747681,0.518799,184.479,3600
10863894502,0.747681,0.518799,184.479,3600
10863895330,1.11389,0.518799,501.663,3600
10863895768,1.11389,0.518799,501.663,3600
10863896330,0.137329,0.137329,0,3600
10863896549,0.137329,0.137329,0,3600
10863897382,0.137329,0.137329,0,3600
10863897455,0.549316,0.137329,347.305,3600
10863898459,0.549316,0.137329,347.305,3600
10863898923,0.366211,0.137329,192.947,3600
10863899721,0.366211,0.137329,192.947,3600
10863900127,1.08337,0.137329,797.516,3600
10863900987,1.08337,0.137329,797.516,3600
10863901486,0.0305176,0.0305176,0,3600
10863901971,0.0305176,0.0305176,0,3600
10863902408,0.839233,0.0305176,681.747,3600
10863902596,0.839233,0.0305176,681.747,3600
10863903205,0.839233,0.0305176,681.747,3600
10863903877,0.610352,0.0305176,488.8,3600
10863904486,0.610352,0.0305176,488.8,3600
10863905206,1.12915,0.0305176,926.147,3600
10863905330,1.12915,0.0305176,926.147,3600
10863906331,1.12915,0.0305176,926.147,3600
10863906455,1.23596,0.0305176,1016.19,3600
10863908049,0.366211,0.0305176,282.99,3600
10863908487,0.366211,0.0305176,282.99,3600
10863909503,1.72424,0.0305176,1427.81,3600
10863909831,1.72424,0.0305176,1427.81,3600
10863910159,0.488281,0.0305176,385.895,3600
10863910831,0.488281,0.0305176,385.895,3600
10863911379,0.488281,0.0305176,385.895,3600
10863911486,0.50354,0.0305176,398.758,3600
10863912109,29.6631,0.366211,24697.3,1200
10863912424,29.6631,0.366211,24697.3,1200
10863913549,0.823975,0.366211,385.895,1200
10863913674,0.823975,0.366211,385.895,1200
10863915549,1.11389,0.366211,630.295,1200
10863915768,1.11389,0.366211,630.295,1200
10863916409,1.11389,0.366211,630.295,1200
10863916971,0.38147,0.366211,12.8632,1200
10863916986,0.38147,0.366211,12.8632,1200
10863917706,1.25122,0.366211,746.063,1200
10863918878,0.701904,0.38147,270.126,1200
10863920330,0.320435,0.320435,0,1200
10863921331,0.961304,0.320435,540.253,1200
10863922628,1.40381,0.320435,913.284,1200
10863923863,0.656128,0.320435,282.99,1200
10863925249,44.1284,0.320435,36930.1,1200
10863926487,1.08337,0.320435,643.158,1200
10863927519,1.23596,0.320435,771.79,1200
10863928550,1.19019,0.320435,733.2,1200
10863929299,1.15967,0.320435,707.474,1200
10863930643,1.12915,0.656128,398.758,1200
10863932128,1.2207,0.656128,475.937,1200
10863933457,1.15967,0.656128,424.484,1200
10863934534,0.62561,0.62561,0,1200
10863935473,0.839233,0.62561,180.084,1200
10863936613,0.671387,0.62561,38.5895,1200
10863938093,12.619,0.62561,10110.4,1200
10863939377,32.3792,0.62561,26768.2,1200
10863940384,101.273,0.62561,84845.4,1200
10863941284,0.88501,0.62561,218.674,1200
10863942737,0.854492,0.62561,192.947,1200
10863943519,0.366211,0.366211,0,1200
10863944365,1.12915,0.366211,643.158,1200
10863945847,0.686646,0.366211,270.126,1200
10863946831,0.427246,0.366211,51.4526,1200
10863947692,0.579834,0.366211,180.084,1200
10863948299,0.457764,0.366211,77.179,1200
10863949473,0.900269,0.366211,450.211,1200
10863950894,0.549316,0.366211,154.358,1200
10863952159,3.0365,0.366211,2251.05,1200
10863952843,3.06702,0.366211,2276.78,1200
10863954215,1.06812,0.427246,540.253,1200
10863955503,1.57166,0.427246,964.737,2400
10863956399,3.479,0.427246,2572.63,2400
10863957923,1.87683,0.457764,1196.27,2400
10863959288,0.50354,0.50354,0,2400
10863960167,0.50354,0.50354,0,2400
10863960666,1.63269,0.50354,951.874,2400
10863961443,71.106,0.50354,56481.9,1200
10863961444,71.106,0.50354,56481.9,1200
10863962173,0.946045,0.50354,354.004,1200
10863962569,0.946045,0.50354,354.004,1200
10863963539,0.488281,0.488281,0,1200
10863963661,0.488281,0.488281,0,1200
10863964387,0.488281,0.488281,0,1200
10863964585,0.305176,0.305176,0,1200
10863965519,15.4266,0.305176,12747.4,1652.61
10863965597,15.4266,0.305176,12747.4,1200
10863966116,0.900269,0.305176,501.663,1200
10863966209,0.900269,0.305176,501.663,1200
10863967237,6.14929,0.305176,4926.59,1200
10863967296,6.14929,0.305176,4926.59,1200
10863968054,2.60925,0.305176,1942.34,2400
10863968991,3.2196,0.305176,2456.86,2400
10863969722,1.61743,0.305176,1106.23,2400
10863970426,1.61743,0.305176,1106.23,2400
10863970891,0.549316,0.305176,205.811,2400
10863971508,0.549316,0.305176,205.811,2400
10863972424,0.0915527,0.0915527,0,2400
10863972700,0.0915527,0.0915527,0,2400
10863973527,1.11389,0.0915527,861.832,2400
10863973922,1.11389,0.0915527,861.832,2400
10863974137,0.335693,0.0915527,205.811,2400
10863974836,0.335693,0.0915527,205.811,2400
10863975294,1.0376,0.0915527,797.516,2400
10863975986,1.0376,0.0915527,797.516,2400
10863976606,0.259399,0.0915527,141.495,2400
10863977114,0.259399,0.0915527,141.495,2400
10863978046,0.869751,0.0915527,656.021,2400
10863978424,0.869751,0.0915527,656.021,2400
10863979089,1.17493,0.0915527,913.284,2400
10863979243,1.17493,0.0915527,913.284,2400
10863979672,1.05286,0.0915527,810.379,2400
10863980364,1.05286,0.0915527,810.379,2400
10863980379,1.05286,0.0915527,810.379,2400
10863981222,1.05286,0.0915527,726.746,2400
10863981376,1.0376,0.0915527,715.21,2400
10863981789,1.0376,0.0915527,715.21,2400
10863982558,1.34277,0.0915527,945.923,2400
10863983171,1.40381,0.259399,865.173,2400
10863983217,1.40381,0.259399,865.173,2400
10863984028,0.534058,0.259399,207.642,2400
10863984686,0.534058,0.259399,207.642,2400
10863985087,0.900269,0.259399,484.497,2400
10863986087,0.900269,0.259399,484.497,2400
10863986165,0.747681,0.259399,369.141,2400
10863986801,0.930786,0.259399,507.568,3600
10863987038,0.930786,0.259399,507.568,3600
10863987608,1.43433,0.534058,680.603,3600
10863987807,1.43433,0.534058,680.603,3600
10863988298,1.14441,0.534058,461.426,3600
10863988603,1.14441,0.534058,461.426,3600
10863989257,1.14441,0.534058,461.426,3600
10863990979,1.52588,0.534058,749.817,3600
10863992261,1.52588,0.534058,817.261,3600
10863992336,29.1138,0.534058,23549.7,1200
10863993163,29.1138,0.534058,23549.7,1200
10863993209,1.02234,0.534058,402.344,1200
10863994375,1.02234,0.534058,402.344,1200
10863994519,0.823975,0.534058,238.892,1200
10863995056,0.823975,0.747681,62.8662,1200
10863995640,0.823975,0.747681,62.8662,1200
10863995931,0.411987,0.411987,0,1200
10863996438,0.411987,0.411987,0,1200
10863996811,68.4662,0.411987,56076.7,1200
10863997035,68.4662,0.411987,56076.7,1200
10863997508,0.778198,0.411987,301.758,1200
10863998216,0.518799,0.411987,88.0127,1200
10863998902,0.686646,0.411987,226.318,1200
10864000639,0.366211,0.366211,0,1200
10864002037,0.213623,0.213623,0,70.4102
10864003096,0.488281,0.213623,226.318,1200
10864003725,0.732422,0.213623,427.49,1200
10864004812,1.58691,0.213623,1131.59,2400
10864005623,1.58691,0.213623,1131.59,3600
10864006171,121.613,0.213623,102339,1200
10864006313,121.613,0.213623,102339,1200
10864007243,2.50244,0.213623,1929.47,1200
10864007497,2.50244,0.213623,1929.47,2400
10864008123,2.50244,0.213623,1929.47,2400
10864008566,2.30408,0.213623,1762.25,2400
10864009018,2.30408,0.213623,1762.25,2400
10864009774,12.5427,0.213623,10393.4,2400
10864009789,12.5427,0.213623,10393.4,2400
10864010906,12.5427,0.213623,10134.5,2400
10864011166,0.778198,0.213623,464.081,2400
10864011536,0.778198,0.213623,464.081,2400
10864012042,0.991821,0.488281,413.91,2400
10864012840,1.19019,0.488281,576.965,2400
10864012871,1.19019,0.488281,576.965,2400
10864013514,1.44958,0.732422,589.508,2400
10864013648,1.44958,0.732422,589.508,2400
10864014837,0.900269,0.778198,100.342,2400
10864014868,0.900269,0.778198,100.342,3600
10864015664,0.900269,0.778198,100.342,3600
10864016287,1.14441,0.778198,295.166,3600
10864016427,1.14441,0.778198,295.166,3600
10864017135,1.14441,0.778198,295.166,3600
10864017415,0.732422,0.732422,0,3600
10864018130,0.732422,0.732422,0,3600
10864018837,0.274658,0.274658,0,3600
10864019130,0.274658,0.274658,0,3600
10864019886,1.23596,0.274658,774.811,3600
10864020570,1.23596,0.274658,810.379,3600
10864021331,124.115,0.274658,104397,1200
10864021356,124.115,0.274658,104397,1200
10864022305,124.115,0.274658,104397,1200
10864022428,0.442505,0.274658,141.495,1200
10864023384,0.991821,0.274658,604.568,1200
10864023768,0.991821,0.274658,604.568,1200
10864024745,0.991821,0.274658,604.568,1200
10864024868,1.58691,0.274658,1106.23,1200
10864026002,1.58691,0.274658,1106.23,1200
10864026239,1.34277,0.274658,900.421,2400
10864027005,1.34277,0.274658,900.421,2400
10864027366,1.52588,0.274658,1054.78,2400
10864027889,1.52588,0.274658,1054.78,2400
10864028046,55.7861,0.274658,46796.2,1200
10864029420,0.579834,0.442505,115.768,1200
10864030341,0.183105,0.183105,0,1200
10864031511,1.35803,0.183105,990.463,1200
10864032173,1.14441,0.183105,810.379,1200
10864033215,1.61743,0.183105,1209.14,1200
10864034493,0.991821,0.183105,681.747,1200
